treatment,run_id,network_size,update_found,fitness,num_antagonists,sorts_per_antagonist,network
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,81,33507,512.367,32,16,"[(13,9),(11,7),(9,11),(13,2),(1,10),(11,6),(15,8),(4,10),(12,0),(13,15),(4,14),(4,12),(3,5),(2,3),(0,14),(1,11),(11,7),(15,9),(5,4),(15,1),(2,15),(0,11),(10,3),(13,0),(7,6),(0,5),(9,4),(14,3),(8,6),(3,7),(4,7),(4,14),(15,12),(3,9),(15,8),(11,8),(6,7),(6,14),(3,10),(6,12),(5,11),(9,10),(4,11),(1,13),(8,12),(9,11),(7,5),(0,13),(6,13),(4,9),(2,1),(13,8),(5,15),(3,4),(1,5),(4,7),(3,4),(5,6),(0,2),(7,10),(8,11),(4,6),(1,2),(2,5),(6,13),(3,5),(2,3),(10,13),(12,13),(8,12),(9,7),(6,9),(11,12),(4,5),(7,10),(13,14),(8,10),(7,9),(12,13),(5,6),(8,9)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,80,33509,512.375,32,16,"[(13,9),(11,7),(9,11),(13,2),(1,10),(11,6),(15,8),(4,10),(12,0),(13,15),(4,14),(4,12),(3,5),(2,3),(0,14),(1,11),(11,7),(15,9),(5,4),(2,15),(0,11),(10,3),(13,0),(7,6),(0,5),(9,4),(14,3),(8,6),(3,7),(4,7),(4,14),(15,12),(3,9),(15,8),(11,8),(6,7),(6,14),(3,10),(6,12),(5,11),(9,10),(4,11),(1,13),(8,12),(9,11),(7,5),(0,13),(6,13),(4,9),(2,1),(13,8),(5,15),(3,4),(1,5),(4,7),(3,4),(5,6),(0,2),(7,10),(8,11),(4,6),(1,2),(2,5),(2,3),(3,5),(6,13),(10,13),(12,13),(8,12),(9,7),(6,9),(11,12),(4,5),(7,10),(13,14),(8,10),(7,9),(12,13),(5,6),(8,9)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,79,33524,512.383,32,16,"[(13,9),(11,7),(9,11),(13,2),(1,10),(11,6),(15,8),(4,10),(12,0),(13,15),(4,14),(4,12),(3,5),(2,3),(0,14),(1,11),(11,7),(15,9),(5,4),(10,4),(2,15),(0,11),(13,0),(7,6),(0,5),(9,4),(14,3),(8,6),(3,7),(4,7),(4,14),(15,12),(3,9),(15,8),(11,8),(6,7),(6,14),(3,10),(6,12),(5,11),(9,10),(4,11),(1,13),(8,12),(9,11),(7,5),(0,13),(6,13),(4,9),(2,1),(13,8),(5,15),(3,4),(1,5),(4,7),(3,4),(5,6),(0,2),(8,11),(4,6),(1,2),(2,5),(2,3),(3,5),(6,13),(10,13),(12,13),(8,12),(9,7),(6,9),(11,12),(4,5),(7,10),(13,14),(8,10),(7,9),(12,13),(5,6),(8,9)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,78,35035,512.391,32,16,"[(8,14),(3,9),(12,10),(9,5),(13,4),(3,12),(7,6),(1,8),(2,4),(13,7),(0,11),(14,7),(0,13),(2,15),(6,8),(0,3),(1,3),(12,6),(8,10),(3,14),(9,11),(15,12),(2,9),(3,8),(15,3),(11,12),(4,12),(7,5),(7,8),(6,14),(4,11),(4,7),(2,1),(7,10),(10,5),(10,8),(1,13),(3,13),(0,9),(7,14),(6,9),(5,15),(1,5),(6,7),(13,14),(14,8),(13,9),(0,2),(3,4),(12,14),(7,10),(9,7),(0,4),(5,6),(14,15),(1,2),(2,3),(4,6),(8,11),(7,8),(2,5),(3,5),(7,13),(10,13),(8,13),(9,7),(8,12),(11,12),(6,9),(4,5),(7,10),(12,14),(5,6),(8,10),(12,13),(7,9),(8,9),(11,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,76,39271,512.406,32,16,"[(13,2),(3,7),(1,13),(0,12),(6,15),(10,12),(1,3),(14,10),(13,8),(4,9),(6,14),(15,5),(4,10),(0,11),(3,6),(0,13),(9,11),(2,12),(7,10),(9,13),(10,5),(4,15),(0,3),(1,4),(15,6),(11,8),(8,5),(15,3),(1,15),(4,7),(12,7),(2,14),(2,9),(4,9),(0,4),(14,10),(11,9),(15,4),(6,14),(13,12),(14,12),(9,10),(5,15),(2,5),(3,13),(14,9),(10,14),(6,11),(3,4),(9,13),(11,8),(0,1),(5,6),(4,6),(1,2),(3,5),(7,11),(8,11),(11,15),(6,10),(12,14),(8,13),(2,3),(9,7),(4,5),(6,9),(8,12),(11,12),(12,14),(7,10),(5,6),(8,10),(12,13),(7,9),(8,9),(11,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,75,39560,512.414,32,16,"[(0,4),(1,9),(13,5),(1,5),(15,14),(4,10),(4,11),(3,2),(6,14),(6,8),(14,5),(7,12),(1,4),(0,13),(9,11),(9,13),(12,8),(10,5),(7,15),(4,15),(2,12),(15,6),(3,7),(11,8),(4,7),(1,3),(15,3),(12,8),(8,5),(12,7),(2,14),(2,9),(0,15),(14,10),(13,12),(6,14),(15,4),(11,9),(9,10),(14,12),(5,15),(2,5),(3,13),(14,9),(10,14),(6,11),(3,4),(4,7),(0,1),(9,13),(1,5),(5,6),(4,6),(1,2),(12,14),(7,11),(8,11),(6,10),(3,5),(8,13),(2,3),(9,7),(4,5),(6,9),(8,12),(11,12),(12,14),(7,10),(5,6),(8,10),(12,13),(7,9),(4,5),(8,9),(11,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,73,58506,512.43,32,16,"[(0,11),(3,6),(11,14),(6,8),(3,0),(14,8),(9,10),(4,15),(2,12),(1,7),(5,9),(9,15),(3,10),(0,11),(10,4),(6,13),(9,1),(13,4),(0,12),(9,3),(10,5),(4,12),(3,6),(4,7),(12,15),(2,13),(13,6),(0,10),(7,11),(3,2),(1,10),(4,7),(1,13),(5,14),(3,9),(8,11),(6,10),(1,9),(0,3),(11,15),(5,9),(7,14),(2,4),(2,5),(12,8),(3,5),(9,4),(4,13),(6,7),(7,13),(2,3),(10,14),(10,12),(1,3),(4,10),(13,12),(8,11),(5,6),(7,10),(4,9),(6,9),(8,13),(11,14),(11,13),(8,10),(7,9),(11,12),(4,5),(3,4),(1,2),(8,9),(5,6),(6,7)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,72,89895,512.438,32,16,"[(4,13),(4,5),(5,9),(7,4),(5,4),(0,4),(10,7),(0,2),(2,9),(13,8),(12,14),(11,12),(6,1),(6,11),(5,2),(2,12),(3,15),(14,15),(3,13),(9,12),(0,5),(7,13),(6,3),(1,4),(4,13),(13,15),(11,7),(4,13),(2,14),(9,8),(0,10),(1,14),(7,8),(5,11),(8,12),(1,5),(8,13),(3,10),(7,9),(5,7),(4,11),(2,7),(4,10),(0,6),(12,14),(2,6),(9,12),(2,1),(3,1),(8,11),(12,11),(14,15),(1,6),(7,10),(9,8),(5,4),(8,10),(10,12),(4,9),(1,5),(13,14),(8,10),(6,7),(1,3),(11,13),(7,9),(4,6),(4,5),(6,7),(8,9),(1,2),(11,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,71,192347,512.445,32,16,"[(7,9),(10,11),(8,4),(3,6),(5,13),(1,14),(15,12),(2,15),(14,11),(3,1),(10,5),(7,15),(10,8),(12,11),(6,15),(5,0),(9,13),(11,15),(3,10),(1,8),(7,12),(11,13),(0,7),(4,15),(6,14),(1,2),(4,9),(11,14),(6,4),(13,15),(0,1),(9,7),(1,10),(7,14),(8,12),(12,13),(4,9),(8,5),(2,8),(7,12),(5,8),(0,3),(1,6),(2,3),(0,2),(4,5),(10,11),(5,9),(14,15),(9,8),(5,10),(7,10),(9,11),(3,6),(4,6),(6,9),(1,2),(8,12),(13,14),(4,5),(2,3),(8,11),(12,13),(11,12),(7,9),(8,10),(8,9),(5,6),(6,7),(3,4),(10,11)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,70,192372,512.453,32,16,"[(0,9),(10,11),(8,4),(3,6),(5,13),(1,14),(15,12),(10,8),(14,11),(3,1),(10,5),(3,10),(2,15),(12,11),(6,15),(7,15),(9,13),(11,15),(1,8),(5,0),(7,12),(11,13),(0,7),(4,15),(6,14),(1,2),(4,9),(11,14),(6,4),(13,15),(0,1),(9,7),(1,10),(7,14),(8,12),(11,7),(12,13),(4,9),(8,5),(2,8),(7,12),(5,8),(0,3),(1,6),(2,3),(0,2),(4,5),(10,11),(9,8),(5,10),(7,10),(9,11),(3,6),(4,6),(6,9),(1,2),(8,12),(13,14),(4,5),(2,3),(8,11),(12,13),(11,12),(7,9),(8,10),(8,9),(5,6),(6,7),(3,4),(10,11)]"
